"ban","cont"
"Aatrox","3"
"Ahri","5"
"Akali","2"
"Alistar","5"
"Amumu","1"
"Anivia","5"
"Annie","3"
"Ashe","5"
"AurelionSol","4"
"Azir","5"
"Bard","5"
"Blitzcrank","4"
"Brand","5"
"Braum","5"
"Caitlyn","5"
"Camille","4"
"Cassiopeia","5"
"Chogath","5"
"Corki","5"
"Darius","4"
"Diana","4"
"DrMundo","4"
"Draven","5"
"Ekko","5"
"Elise","5"
"Evelynn","4"
"Ezreal","5"
"FiddleSticks","1"
"Fiddlesticks","1"
"Fiora","5"
"Fizz","5"
"Galio","5"
"Gangplank","5"
"Garen","1"
"Gnar","5"
"Gragas","5"
"Graves","5"
"Hecarim","4"
"Heimerdinger","2"
"Illaoi","4"
"Irelia","5"
"Ivern","5"
"Janna","5"
"JarvanIV","5"
"Jax","5"
"Jayce","5"
"Jhin","5"
"Jinx","5"
"Kalista","5"
"Karma","5"
"Karthus","5"
"Kassadin","5"
"Katarina","4"
"Kayle","3"
"Kayn","3"
"Kennen","5"
"Khazix","5"
"Kindred","4"
"Kled","5"
"KogMaw","5"
"Leblanc","5"
"LeeSin","5"
"Leona","5"
"Lissandra","4"
"Lucian","5"
"Lulu","5"
"Lux","4"
"Malphite","2"
"Malzahar","5"
"Maokai","5"
"MasterYi","2"
"MissFortune","5"
"Mordekaiser","4"
"Morgana","4"
"Nami","4"
"Nasus","2"
"Nautilus","5"
"Nidalee","5"
"Nocturne","3"
"Nunu","4"
"Olaf","5"
"Orianna","5"
"Ornn","4"
"Pantheon","3"
"Poppy","5"
"Quinn","4"
"Rakan","5"
"Rammus","4"
"RekSai","5"
"Renekton","5"
"Rengar","5"
"Riven","3"
"Rumble","5"
"Ryze","5"
"Sejuani","5"
"Shaco","1"
"Shen","5"
"Shyvana","4"
"Singed","2"
"Sion","4"
"Sivir","5"
"Skarner","2"
"Sona","2"
"Soraka","5"
"Swain","5"
"Syndra","5"
"TahmKench","5"
"Taliyah","5"
"Talon","5"
"Taric","5"
"Thresh","5"
"Tristana","5"
"Trundle","5"
"TwistedFate","5"
"Twitch","5"
"Udyr","2"
"Urgot","5"
"Varus","5"
"Vayne","5"
"Veigar","5"
"Velkoz","4"
"Vi","4"
"Viktor","5"
"Vladimir","5"
"Volibear","1"
"Warwick","4"
"Xayah","5"
"Xerath","5"
"XinZhao","2"
"Yasuo","5"
"Yorick","2"
"Zac","5"
"Zed","5"
"Ziggs","4"
"Zilean","5"
"Zoe","4"
"Zyra","5"
"","1"